Date,Rented.Bike.Count,Hour,Temperature,Humidity,Wind.speed,Visibility,Dew.point.temperature,Solar.Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning.Day,RF,XGBoost,Cubist
01/12/2017,254,0,-5.2,37,2.2,2000,-17.6,0,0,0,4,1,1,181.3405405,185.7962189,168.1188965
01/12/2017,204,1,-5.5,38,0.8,2000,-17.6,0,0,0,4,1,1,167.0563552,172.433197,178.3017883
01/12/2017,173,2,-6,39,1,2000,-17.7,0,0,0,4,1,1,137.8547053,141.872818,151.9641876
01/12/2017,107,3,-6.2,40,0.9,2000,-17.6,0,0,0,4,1,1,105.3881312,100.4817352,113.5677414
01/12/2017,78,4,-6,36,2.3,2000,-18.6,0,0,0,4,1,1,86.9628069,71.93294525,56.18653488
01/12/2017,100,5,-6.4,37,1.5,2000,-18.7,0,0,0,4,1,1,97.22247439,79.93902588,85.33852386
01/12/2017,181,6,-6.6,35,1.3,2000,-19.5,0,0,0,4,1,1,126.5383879,127.9513168,133.8553162
01/12/2017,460,7,-7.4,38,0.9,2000,-19.3,0,0,0,4,1,1,316.9776138,356.8955383,390.8208008
01/12/2017,930,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,4,1,1,613.0058421,728.5598755,596.5415039
01/12/2017,490,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,4,1,1,355.7534358,412.6805725,302.2625732
01/12/2017,339,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,4,1,1,290.4618633,281.3861694,281.7350464
01/12/2017,360,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,4,1,1,296.6179988,302.1188049,296.0237122
01/12/2017,449,12,1.7,23,1.4,2000,-17.2,1.11,0,0,4,1,1,381.9349609,391.6046753,388.5423279
01/12/2017,451,13,2.4,25,1.6,2000,-15.6,1.16,0,0,4,1,1,397.288385,400.662384,420.5064087
01/12/2017,447,14,3,26,2,2000,-14.6,1.01,0,0,4,1,1,392.7411937,388.2359924,403.8215942
01/12/2017,463,15,2.1,36,3.2,2000,-11.4,0.54,0,0,4,1,1,390.4791332,402.3032837,404.8554077
01/12/2017,484,16,1.2,54,4.2,793,-7,0.24,0,0,4,1,1,328.3069153,260.2228699,368.4998779
01/12/2017,555,17,0.8,58,1.6,2000,-6.5,0.08,0,0,4,1,1,474.7285213,527.010376,534.3839722
01/12/2017,862,18,0.6,66,1.4,2000,-5,0,0,0,4,1,1,539.6338302,750.1137695,655.8169556
01/12/2017,600,19,0,77,1.7,2000,-3.5,0,0,0,4,1,1,452.7163447,570.3349609,543.4901733
