"Test[not.NA.test.row.index, 1]","Test[not.NA.test.row.index, 3]","Test[not.NA.test.row.index, 2]","predict(XGB, Test[not.NA.test.row.index, 2:14])"
"01/03/2018",0,71,162.709335327148
"01/03/2018",1,147,140.270370483398
"01/03/2018",2,180,139.978149414062
"01/03/2018",3,92,53.0508499145508
"01/03/2018",4,28,14.8098697662354
"01/03/2018",5,11,10.6552848815918
"01/03/2018",6,33,-1.21745979785919
"01/03/2018",7,61,64.134033203125
"01/03/2018",8,148,163.572769165039
"01/03/2018",9,160,187.414840698242
"01/03/2018",10,191,172.625381469727
"01/03/2018",11,239,174.040725708008
"01/03/2018",12,311,183.683410644531
"01/03/2018",13,358,215.796905517578
"01/03/2018",14,375,167.526031494141
"01/03/2018",15,458,191.292510986328
"01/03/2018",16,460,200.945648193359
"01/03/2018",17,423,192.504501342773
"01/03/2018",18,317,288.042785644531
"01/03/2018",19,231,193.969009399414
"01/03/2018",20,246,158.968688964844
"01/03/2018",21,212,159.409210205078
"01/03/2018",22,190,145.275787353516
"01/03/2018",23,190,117.599044799805
"02/03/2018",0,156,189.476150512695
"02/03/2018",1,108,180.701568603516
"02/03/2018",2,71,122.566589355469
"02/03/2018",3,49,102.512763977051
"02/03/2018",4,47,63.6974411010742
"02/03/2018",5,65,59.0617294311523
"02/03/2018",6,135,107.123252868652
"02/03/2018",7,401,272.899871826172
"02/03/2018",8,617,614.49462890625
"02/03/2018",9,343,265.336761474609
"02/03/2018",10,274,222.110763549805
"02/03/2018",11,343,264.658386230469
"02/03/2018",12,388,301.115661621094
"02/03/2018",13,375,291.798614501953
"02/03/2018",14,450,330.805541992188
"02/03/2018",15,463,338.857940673828
"02/03/2018",16,574,418.402679443359
"02/03/2018",17,631,442.524108886719
"02/03/2018",18,854,425.938323974609
"02/03/2018",19,568,298.802093505859
"02/03/2018",20,427,275.166473388672
"02/03/2018",21,396,260.616241455078
"02/03/2018",22,414,264.31005859375
"02/03/2018",23,284,186.148818969727
"03/03/2018",0,218,130.402694702148
"03/03/2018",1,229,126.885749816895
"03/03/2018",2,176,97.9231414794922
"03/03/2018",3,149,85.2225112915039
"03/03/2018",4,93,78.9002914428711
"03/03/2018",5,55,59.4394226074219
"03/03/2018",6,71,128.331161499023
