"Test[not.NA.test.row.index, 1]","Test[not.NA.test.row.index, 3]","Test[not.NA.test.row.index, 2]","predict(Cubist, Test[not.NA.test.row.index, 2:14])"
"01/03/2018",0,71,170.588012695312
"01/03/2018",1,147,182.07795715332
"01/03/2018",2,180,152.666595458984
"01/03/2018",3,92,13.7111520767212
"01/03/2018",4,28,37.4695014953613
"01/03/2018",5,11,15.2071046829224
"01/03/2018",6,33,0.372493028640747
"01/03/2018",7,61,20.8075313568115
"01/03/2018",8,148,230.638824462891
"01/03/2018",9,160,147.025833129883
"01/03/2018",10,191,174.111251831055
"01/03/2018",11,239,170.357498168945
"01/03/2018",12,311,167.518692016602
"01/03/2018",13,358,199.033569335938
"01/03/2018",14,375,178.414627075195
"01/03/2018",15,458,206.878829956055
"01/03/2018",16,460,181.365188598633
"01/03/2018",17,423,209.983810424805
"01/03/2018",18,317,243.511947631836
"01/03/2018",19,231,167.393112182617
"01/03/2018",20,246,144.899917602539
"01/03/2018",21,212,120.145317077637
"01/03/2018",22,190,99.7403793334961
"01/03/2018",23,190,83.0032043457031
"02/03/2018",0,156,219.067169189453
"02/03/2018",1,108,165.494689941406
"02/03/2018",2,71,131.972610473633
"02/03/2018",3,49,83.6501312255859
"02/03/2018",4,47,57.8637542724609
"02/03/2018",5,65,58.624340057373
"02/03/2018",6,135,99.5579376220703
"02/03/2018",7,401,360.104553222656
"02/03/2018",8,617,597.4375
"02/03/2018",9,343,260.241638183594
"02/03/2018",10,274,264.224670410156
"02/03/2018",11,343,256.811126708984
"02/03/2018",12,388,320.118377685547
"02/03/2018",13,375,327.484954833984
"02/03/2018",14,450,366.661987304688
"02/03/2018",15,463,405.549102783203
"02/03/2018",16,574,394.146606445312
"02/03/2018",17,631,396.234130859375
"02/03/2018",18,854,417.191925048828
"02/03/2018",19,568,331.197845458984
"02/03/2018",20,427,278.137969970703
"02/03/2018",21,396,220.187393188477
"02/03/2018",22,414,213.734649658203
"02/03/2018",23,284,213.781509399414
"03/03/2018",0,218,175.023406982422
"03/03/2018",1,229,160.770568847656
"03/03/2018",2,176,136.829605102539
"03/03/2018",3,149,74.1137084960938
"03/03/2018",4,93,50.5940971374512
"03/03/2018",5,55,55.9259262084961
"03/03/2018",6,71,70.8677444458008
"03/03/2018",7,159,313.12646484375
"03/03/2018",8,306,604.259948730469
"03/03/2018",9,329,256.561279296875
"03/03/2018",10,354,318.310180664062
"03/03/2018",11,431,535.134399414062
"03/03/2018",12,605,551.159606933594
"03/03/2018",13,771,602.905334472656
"03/03/2018",14,1025,654.686462402344
"03/03/2018",15,1238,731.617858886719
"03/03/2018",16,1285,745.834899902344
"03/03/2018",17,1197,795.991027832031
"03/03/2018",18,920,874.591552734375
"03/03/2018",19,630,726.471740722656
"03/03/2018",20,631,548.438049316406
"03/03/2018",21,588,503.817474365234
"03/03/2018",22,516,470.593627929688
"03/03/2018",23,215,466.867736816406
"04/03/2018",0,161,249.094085693359
"04/03/2018",1,118,199.753311157227
"04/03/2018",2,95,171.448211669922
"04/03/2018",3,90,126.436958312988
"04/03/2018",4,34,76.3251800537109
"04/03/2018",5,15,47.6120300292969
"04/03/2018",6,20,41.6791038513184
"04/03/2018",7,23,184.141494750977
"04/03/2018",8,70,246.981384277344
"04/03/2018",9,157,282.834106445312
"04/03/2018",10,239,482.666107177734
"04/03/2018",11,273,468.375122070312
"04/03/2018",12,358,600.313537597656
"04/03/2018",13,429,618.490173339844
"04/03/2018",14,475,667.699890136719
"04/03/2018",15,468,692.784912109375
"04/03/2018",16,396,685.731872558594
"04/03/2018",17,492,727.70458984375
"04/03/2018",18,436,672.235778808594
"04/03/2018",19,289,515.093688964844
"04/03/2018",20,26,484.074829101562
"04/03/2018",21,7,383.267059326172
"04/03/2018",22,8,262.060760498047
"04/03/2018",23,9,253.637512207031
"05/03/2018",0,22,214.30989074707
"05/03/2018",1,23,210.420059204102
"05/03/2018",2,9,223.652465820312
"05/03/2018",3,2,118.407768249512
"05/03/2018",4,4,55.6504440307617
"05/03/2018",5,22,42.0874900817871
"05/03/2018",6,20,94.7894973754883
"05/03/2018",7,85,233.742172241211
"05/03/2018",8,184,327.557067871094
"05/03/2018",9,211,305.575469970703
"05/03/2018",10,232,307.639282226562
"05/03/2018",11,322,391.195617675781
"05/03/2018",12,438,424.606506347656
"05/03/2018",13,465,554.100402832031
"05/03/2018",14,550,524.08203125
"05/03/2018",15,637,533.503723144531
"05/03/2018",16,718,561.096435546875
"05/03/2018",17,865,682.492797851562
"05/03/2018",18,1155,671.083374023438
"05/03/2018",19,782,489.009552001953
"05/03/2018",20,578,396.372589111328
"05/03/2018",21,533,429.567840576172
"05/03/2018",22,466,357.927764892578
"05/03/2018",23,274,327.711029052734
