"Test.not.NA.test.row.index..1.","Test.not.NA.test.row.index..3.","Test[not.NA.test.row.index, 2]","predict"
"01/03/2018",0,71,127.462292371902
"01/03/2018",1,147,178.416934595889
"01/03/2018",2,180,155.38627248218
"01/03/2018",3,92,85.8175843253969
"01/03/2018",4,28,95.9964465414178
"01/03/2018",5,11,90.0704242659589
"01/03/2018",6,33,68.94288003663
"01/03/2018",7,61,127.85668138579
"01/03/2018",8,148,240.845009037769
"01/03/2018",9,160,189.507910302664
"01/03/2018",10,191,233.573607057757
"01/03/2018",11,239,223.170681652471
"01/03/2018",12,311,228.436876470636
"01/03/2018",13,358,241.04875421625
"01/03/2018",14,375,248.064438296729
"01/03/2018",15,458,253.358719796479
"01/03/2018",16,460,253.424538743157
"01/03/2018",17,423,249.792344021895
"01/03/2018",18,317,250.847426603702
"01/03/2018",19,231,259.374890103212
"01/03/2018",20,246,168.672860539094
"01/03/2018",21,212,153.83476896574
"01/03/2018",22,190,149.474844028342
"01/03/2018",23,190,136.132666855374
"02/03/2018",0,156,176.523812725
"02/03/2018",1,108,174.108831705295
"02/03/2018",2,71,126.172755009783
"02/03/2018",3,49,83.9822181472471
"02/03/2018",4,47,71.0684912514854
"02/03/2018",5,65,66.8555434790078
"02/03/2018",6,135,96.5166390000978
"02/03/2018",7,401,278.00136642122
"02/03/2018",8,617,394.532679292773
"02/03/2018",9,343,243.093657367037
"02/03/2018",10,274,248.61110535734
"02/03/2018",11,343,275.85357841457
"02/03/2018",12,388,305.010085719872
"02/03/2018",13,375,317.175044035361
"02/03/2018",14,450,340.223135350985
"02/03/2018",15,463,374.209796844142
"02/03/2018",16,574,430.621660174283
"02/03/2018",17,631,405.107911939194
"02/03/2018",18,854,417.333186794934
"02/03/2018",19,568,368.147688101343
"02/03/2018",20,427,275.545756046542
"02/03/2018",21,396,257.298119914713
"02/03/2018",22,414,258.250913195297
"02/03/2018",23,284,227.553180606683
"03/03/2018",0,218,151.683527824487
"03/03/2018",1,229,145.628713785621
"03/03/2018",2,176,121.979702403611
"03/03/2018",3,149,95.7142119798557
"03/03/2018",4,93,87.6228298816271
"03/03/2018",5,55,83.3300343739735
"03/03/2018",6,71,114.098020806366
"03/03/2018",7,159,321.911214734044
"03/03/2018",8,306,467.912263608946
"03/03/2018",9,329,297.630532134403
"03/03/2018",10,354,349.967371919849
"03/03/2018",11,431,468.312462097696
"03/03/2018",12,605,469.852245769115
"03/03/2018",13,771,485.817692132419
"03/03/2018",14,1025,492.608981880226
"03/03/2018",15,1238,519.533151881487
"03/03/2018",16,1285,535.716286956238
"03/03/2018",17,1197,567.953962922808
"03/03/2018",18,920,597.711442586739
"03/03/2018",19,630,579.632122494078
"03/03/2018",20,631,394.793221060622
"03/03/2018",21,588,395.785321368452
"03/03/2018",22,516,421.038059420864
"03/03/2018",23,215,371.407529251143
"04/03/2018",0,161,285.023203591273
"04/03/2018",1,118,266.435937446282
"04/03/2018",2,95,249.598468083537
"04/03/2018",3,90,212.955969879834
"04/03/2018",4,34,210.498963466982
"04/03/2018",5,15,204.576738417942
"04/03/2018",6,20,187.764199211148
"04/03/2018",7,23,193.069653368029
"04/03/2018",8,70,277.603976039803
"04/03/2018",9,157,302.497308586839
"04/03/2018",10,239,334.648636878967
"04/03/2018",11,273,370.026484552127
"04/03/2018",12,358,432.230822577434
"04/03/2018",13,429,453.713092542712
"04/03/2018",14,475,452.478587334379
"04/03/2018",15,468,467.813520859598
"04/03/2018",16,396,461.791726329966
"04/03/2018",17,492,482.733272951764
"04/03/2018",18,436,513.801676826464
"04/03/2018",19,289,417.8788913218
"04/03/2018",20,26,409.846826428585
"04/03/2018",21,7,277.600199854704
"04/03/2018",22,8,300.161327340812
"04/03/2018",23,9,303.734973747439
"05/03/2018",0,22,220.481541609761
"05/03/2018",1,23,248.956730926415
"05/03/2018",2,9,235.501611606306
"05/03/2018",3,2,190.530767168848
"05/03/2018",4,4,109.854099162226
"05/03/2018",5,22,104.123818600119
"05/03/2018",6,20,101.788154854262
"05/03/2018",7,85,206.277014289573
"05/03/2018",8,184,265.781815406072
"05/03/2018",9,211,267.197709287457
"05/03/2018",10,232,277.451649140751
"05/03/2018",11,322,379.534026749821
"05/03/2018",12,438,416.609457905446
"05/03/2018",13,465,443.640243821192
"05/03/2018",14,550,482.195664125313
"05/03/2018",15,637,511.661696499957
"05/03/2018",16,718,496.597878228517
"05/03/2018",17,865,511.722806263787
"05/03/2018",18,1155,565.992604036773
"05/03/2018",19,782,493.60654502473
"05/03/2018",20,578,363.386261102537
"05/03/2018",21,533,335.533526892207
"05/03/2018",22,466,325.152096622924
"05/03/2018",23,274,276.07829955746
"06/03/2018",0,224,180.193122169624
"06/03/2018",1,188,171.276669537266
"06/03/2018",2,122,153.525934078537
"06/03/2018",3,82,123.263228336596
"06/03/2018",4,79,100.815282124613
"06/03/2018",5,80,107.930496199416
"06/03/2018",6,214,117.149596853858
"06/03/2018",7,583,268.460064333685
"06/03/2018",8,997,397.567577422931
"06/03/2018",9,556,302.886745551688
"06/03/2018",10,380,318.806668467643
"06/03/2018",11,475,405.82674873877
"06/03/2018",12,504,492.284227883074
"06/03/2018",13,528,494.556008186104
"06/03/2018",14,567,506.149751585682
"06/03/2018",15,616,506.953236516903
"06/03/2018",16,680,536.373250401898
"06/03/2018",17,883,547.011572584898
"06/03/2018",18,1246,595.272973350097
"06/03/2018",19,833,586.735306196248
"06/03/2018",20,666,442.54427669692
"06/03/2018",21,625,414.066250976295
"06/03/2018",22,514,387.27175670679
"06/03/2018",23,361,298.610233448053
"07/03/2018",0,289,232.555751198717
"07/03/2018",1,194,223.671928846423
"07/03/2018",2,134,184.2873784105
"07/03/2018",3,92,144.352104220006
"07/03/2018",4,49,120.495895232913
"07/03/2018",5,97,116.754112128785
"07/03/2018",6,232,140.681621631663
"07/03/2018",7,598,371.058604758446
"07/03/2018",8,1032,498.29064196892
"07/03/2018",9,566,336.400593013222
"07/03/2018",10,410,376.392129678082
"07/03/2018",11,441,445.128038257258
"07/03/2018",12,550,464.93592454198
"07/03/2018",13,509,477.27713547948
"07/03/2018",14,505,470.150253473891
"07/03/2018",15,620,518.8199435542
"07/03/2018",16,646,515.110273715006
"07/03/2018",17,849,501.190574465205
"07/03/2018",18,1365,580.697771960624
"07/03/2018",19,799,504.950390985695
"07/03/2018",20,587,442.222024570116
"07/03/2018",21,411,400.08566210255
"07/03/2018",22,147,404.08333695374
"07/03/2018",23,48,291.979483740596
"08/03/2018",0,49,180.853020959049
"08/03/2018",1,23,200.892866872906
"08/03/2018",2,19,188.106139768514
"08/03/2018",3,12,98.7354025416985
"08/03/2018",4,8,95.6590839387345
"08/03/2018",5,17,98.9617555546578
"08/03/2018",6,32,91.0309237420325
"08/03/2018",7,64,130.06279621518
"08/03/2018",8,88,220.484620844752
"08/03/2018",9,100,149.527192330103
"08/03/2018",10,165,169.459017274018
"08/03/2018",11,290,244.764741221208
"08/03/2018",12,375,340.622883633733
"08/03/2018",13,405,382.143474093251
"08/03/2018",14,452,414.652108575089
"08/03/2018",15,555,449.301313977783
"08/03/2018",16,594,405.526206187184
"08/03/2018",17,757,413.923198045707
"08/03/2018",18,1091,431.491500882879
"08/03/2018",19,683,369.957020491199
"08/03/2018",20,586,266.210441646071
"08/03/2018",21,533,267.016483675498
"08/03/2018",22,498,265.337298444922
"08/03/2018",23,315,242.046507496826
"09/03/2018",0,272,192.791167617154
"09/03/2018",1,228,192.28100991916
"09/03/2018",2,155,157.418247607978
"09/03/2018",3,105,111.910498758792
"09/03/2018",4,66,97.1428394631036
"09/03/2018",5,88,103.681478096222
"09/03/2018",6,195,108.04165834435
"09/03/2018",7,574,269.786181671423
"09/03/2018",8,1041,477.799245842283
"09/03/2018",9,570,345.419150983668
"09/03/2018",10,361,359.019977849131
"09/03/2018",11,444,396.340281578607
"09/03/2018",12,510,420.628929738267
"09/03/2018",13,509,419.866849843208
"09/03/2018",14,542,459.121693593208
"09/03/2018",15,611,383.029780524077
"09/03/2018",16,686,444.523364395995
"09/03/2018",17,834,457.700369022233
"09/03/2018",18,1231,490.875594866145
"09/03/2018",19,718,488.092224016977
"09/03/2018",20,535,323.337096522162
"09/03/2018",21,537,285.025866110293
"09/03/2018",22,521,286.289811027714
"09/03/2018",23,309,242.85999711248
"10/03/2018",0,328,191.368959523759
"10/03/2018",1,305,202.830699696547
"10/03/2018",2,241,163.539216070513
"10/03/2018",3,139,120.814930203974
"10/03/2018",4,91,103.078318247767
"10/03/2018",5,79,102.265966741094
"10/03/2018",6,74,105.247187342519
"10/03/2018",7,208,235.628356116561
"10/03/2018",8,340,408.139983788543
"10/03/2018",9,381,294.634751779732
"10/03/2018",10,416,292.902418627917
"10/03/2018",11,497,353.292105060541
"10/03/2018",12,650,363.915993974163
"10/03/2018",13,757,424.80653360449
"10/03/2018",14,906,468.45884741022
"10/03/2018",15,931,502.71768596059
"10/03/2018",16,972,488.319407149827
"10/03/2018",17,829,497.017953686797
"10/03/2018",18,664,488.472028336134
"10/03/2018",19,573,451.954635997031
"10/03/2018",20,447,318.628313259601
"10/03/2018",21,470,278.703965321965
"10/03/2018",22,421,269.734076126858
"10/03/2018",23,345,268.294471455774
"11/03/2018",0,376,214.516116254267
"11/03/2018",1,222,212.473188435949
"11/03/2018",2,171,187.860658612123
"11/03/2018",3,115,114.638385380448
"11/03/2018",4,80,96.892614912405
"11/03/2018",5,45,106.294745076838
"11/03/2018",6,63,85.6480934384705
"11/03/2018",7,119,172.114120809894
"11/03/2018",8,212,268.331361586679
"11/03/2018",9,289,254.049149497123
"11/03/2018",10,394,307.365513242424
"11/03/2018",11,425,325.92010578427
"11/03/2018",12,666,391.797505396381
"11/03/2018",13,843,441.264323947939
