Year,Month,Day,Hour,Temp,Humi,WS,WD,Solar
2011,1,1,8,-10.2,71,1.3,290,0
2011,1,1,9,-9.7,66,1.6,270,0.23
2011,1,1,10,-7.2,56,0.8,230,0.8
2011,1,1,11,-5.6,54,2,230,1.21
2011,1,1,12,-5.1,50,2.6,270,1.59
2011,1,1,13,-4,48,3.3,270,1.71
2011,1,1,14,-3.6,47,4,270,1.45
2011,1,1,15,-3,47,3.9,270,1.29
2011,1,1,16,-3.4,48,2.7,250,0.85
2011,1,1,17,-4.2,51,2.3,250,0.3
2011,1,1,18,-5.2,54,2,270,0.02
2011,1,2,8,-8.1,74,1,320,0
2011,1,2,9,-7.6,72,1,270,0.26
2011,1,2,10,-5.6,63,1,20,0.78
2011,1,2,11,-3.3,60,2.9,200,1.26
2011,1,2,12,-2.7,50,2.9,250,1.57
2011,1,2,13,-1.8,42,2.6,270,1.72
2011,1,2,14,-2,43,3.8,290,1.52
2011,1,2,15,-1.2,42,2.9,290,1.35
2011,1,2,16,-1.5,40,3.9,270,0.91
2011,1,2,17,-2.7,45,2.8,290,0.35
2011,1,2,18,-3.7,48,3.4,270,0.01
2011,1,3,8,-8,78,0.4,0,0
2011,1,3,9,-7.6,77,1.2,20,0.24
2011,1,3,10,-5.6,68,2.2,50,0.61
2011,1,3,11,-4.3,59,1.3,50,1.03
2011,1,3,12,-1.5,48,1,250,1.5
2011,1,3,13,-1,53,2.8,270,1.4
2011,1,3,14,-1.4,54,3.5,290,1.18
2011,1,3,15,-0.7,51,4.4,290,1.16
2011,1,3,16,-0.6,55,3.5,270,0.81
2011,1,3,17,-1.7,60,3.7,290,0.29
2011,1,3,18,-2.2,60,2.8,270,0.02
2011,1,4,8,-7.4,72,0.8,20,0
2011,1,4,9,-6.6,70,1.5,20,0.2
2011,1,4,10,-5.2,70,1.3,20,0.4
2011,1,4,11,-3.3,59,0.4,0,0.7
2011,1,4,12,-2.3,58,3.1,290,0.97
2011,1,4,13,-2.3,61,4.5,250,1.19
2011,1,4,14,-2,60,2.9,290,0.96
2011,1,4,15,-1.9,61,3.4,250,0.73
2011,1,4,16,-1.9,61,2.3,250,0.55
2011,1,4,17,-2.2,65,2.3,270,0.22
2011,1,4,18,-2.6,68,3.3,270,0.01
2011,1,5,8,-3.5,70,2.4,270,0
2011,1,5,9,-2.8,69,2,250,0.1
2011,1,5,10,-2.8,65,4.9,270,0.47
2011,1,5,11,-3.1,64,4.7,290,0.8
2011,1,5,12,-2.3,56,4.4,270,1.37
2011,1,5,13,-2.7,57,6.4,270,1.62
2011,1,5,14,-2.4,54,5.4,270,1.66
2011,1,5,15,-3.4,57,4.5,270,1.08
2011,1,5,16,-3.2,54,4.7,290,0.78
2011,1,5,17,-3.4,53,5.3,250,0.34
2011,1,5,18,-4.1,59,3.8,250,0.02
2011,1,6,8,-9.7,58,1.5,320,0
2011,1,6,9,-9.4,55,1.7,290,0.29
2011,1,6,10,-8.5,47,3.6,290,0.87
2011,1,6,11,-7.8,45,4.1,320,1.42
2011,1,6,12,-6.6,39,4.3,270,1.72
2011,1,6,13,-5.9,38,3.8,290,1.83
2011,1,6,14,-5.4,38,3.3,290,1.74
2011,1,6,15,-5.1,38,4,290,1.45
2011,1,6,16,-4.9,42,3.5,270,0.96
2011,1,6,17,-5.7,44,3.2,290,0.4
2011,1,6,18,-6.4,47,2.4,270,0.02
2011,1,7,8,-10.5,63,1.8,270,0
2011,1,7,9,-9.6,55,1.2,270,0.28
2011,1,7,10,-7.6,41,2,290,0.88
2011,1,7,11,-6.1,40,2.6,250,1.38
2011,1,7,12,-5.9,38,3.2,290,1.69
2011,1,7,13,-4.9,33,4.3,270,1.84
2011,1,7,14,-4.5,30,4.1,290,1.8
2011,1,7,15,-3.1,31,3.1,270,1.52
2011,1,7,16,-3.7,34,3.5,290,1.01
2011,1,7,17,-4.2,36,3.5,270,0.41
2011,1,7,18,-5,38,3.1,270,0.03
2011,1,8,8,-7.1,65,3.3,50,0
2011,1,8,9,-6.5,64,3.3,50,0.04
2011,1,8,10,-5.4,76,2.6,50,0.47
2011,1,8,11,-4.5,72,3.6,70,1.15
2011,1,8,12,-4.3,73,2.6,70,0.63
2011,1,8,13,-3,73,2,50,0.87
2011,1,8,14,-2.5,70,2.9,50,0.8
2011,1,8,15,-1.4,69,1.6,50,0.89
2011,1,8,16,-1.3,72,1.2,20,0.31
2011,1,8,17,-0.2,62,2,270,0.17
2011,1,8,18,-0.1,62,3.8,270,0.02
2011,1,9,8,-7.5,64,4.7,270,0
2011,1,9,9,-7.7,63,3.3,290,0.27
2011,1,9,10,-7.3,59,4.3,320,0.83
2011,1,9,11,-6.9,53,4.3,270,1.34
2011,1,9,12,-6.6,48,4.6,290,1.7
2011,1,9,13,-6,42,4.6,290,1.9
2011,1,9,14,-5.7,40,5.2,290,1.84
2011,1,9,15,-6,40,4.7,320,1.57
2011,1,9,16,-5.9,42,5.6,270,1.04
2011,1,9,17,-6.6,43,5.1,290,0.45
2011,1,9,18,-7.3,43,3.4,290,0.04
2011,1,10,8,-11.3,52,2,290,0
2011,1,10,9,-10.5,47,1.9,320,0.33
2011,1,10,10,-9.5,43,3.4,270,0.93
2011,1,10,11,-8.7,40,3.8,320,1.43
2011,1,10,12,-7.4,31,4.5,270,1.79
2011,1,10,13,-6.4,30,4.5,290,1.9
2011,1,10,14,-5.1,27,4.6,270,1.83
2011,1,10,15,-4.7,27,4.7,270,1.54
2011,1,10,16,-5.1,31,3.9,250,0.86
2011,1,10,17,-5.9,30,2.3,270,0.26
2011,1,10,18,-6.2,33,1.5,270,0.02
2011,1,11,8,-7.2,56,3.4,50,0
2011,1,11,9,-7,65,3.3,70,0.06
2011,1,11,10,-6.5,70,3.4,70,0.33
2011,1,11,11,-5.9,69,2.9,70,0.55
2011,1,11,12,-4.5,65,2.7,90,0.83
2011,1,11,13,-4.1,65,2.5,70,0.69
2011,1,11,14,-3.7,74,1.9,110,0.53
2011,1,11,15,-4.4,88,0.9,20,0.26
2011,1,11,16,-3.7,88,0.9,50,0.21
2011,1,11,17,-3.4,87,0.9,360,0.11
2011,1,11,18,-3.3,87,1,250,0
2011,1,12,8,-11,57,3.1,270,0
2011,1,12,9,-10.6,52,3.5,270,0.3
2011,1,12,10,-9.7,46,3.7,290,0.91
2011,1,12,11,-8.3,39,3.8,290,1.43
2011,1,12,12,-7.7,34,4.2,290,1.84
2011,1,12,13,-6.8,33,4.1,270,2.01
2011,1,12,14,-6.2,31,4.6,290,1.94
2011,1,12,15,-5.7,31,4,320,1.64
2011,1,12,16,-5.2,30,4.1,270,1.12
2011,1,12,17,-5.9,31,4.2,270,0.51
2011,1,12,18,-6.9,34,4,270,0.04
2011,1,13,8,-11.1,58,2.3,20,0
2011,1,13,9,-9.8,56,2.3,20,0.3
2011,1,13,10,-8,41,2.3,50,0.86
2011,1,13,11,-6.3,34,1,20,1.43
2011,1,13,12,-3.8,30,3.2,270,1.77
2011,1,13,13,-2.7,34,2.8,270,1.95
2011,1,13,14,-1.1,32,2.8,230,1.82
2011,1,13,15,-1.3,31,1.9,50,1.49
2011,1,13,16,-1.4,32,2.1,110,0.88
2011,1,13,17,-2,36,3.1,270,0.24
2011,1,13,18,-2.7,40,2.3,290,0.03
2011,1,14,8,-5.4,85,3.4,50,0
2011,1,14,9,-4.8,83,2.4,20,0.09
2011,1,14,10,-3.9,80,2.9,50,0.45
2011,1,14,11,-3.1,77,1,20,0.69
2011,1,14,12,-0.9,71,1.8,270,0.91
2011,1,14,13,-0.2,59,3.3,320,1.26
2011,1,14,14,0.1,43,4.8,290,1.49
2011,1,14,15,-0.3,38,4.7,290,1.27
2011,1,14,16,-1.1,39,5.4,270,0.61
2011,1,14,17,-1.7,48,3.4,270,0.3
2011,1,14,18,-2.6,44,2.7,290,0.04
2011,1,15,8,-12,35,4.9,290,0
2011,1,15,9,-11.9,34,3.4,290,0.31
2011,1,15,10,-11.3,29,5.2,290,0.86
2011,1,15,11,-10.6,29,5.6,270,1.44
2011,1,15,12,-10.3,26,7.5,270,1.83
2011,1,15,13,-10.6,27,6.7,290,2.06
2011,1,15,14,-10.9,31,6.4,290,2.03
2011,1,15,15,-11.3,29,6.4,270,1.74
2011,1,15,16,-12.5,31,7,320,0.94
2011,1,15,17,-13.5,32,7.8,290,0.51
2011,1,15,18,-14,40,6,290,0.03
2011,1,16,8,-17.7,52,2.2,340,0
2011,1,16,9,-17.2,50,1.9,320,0.31
2011,1,16,10,-16.4,42,3.6,320,0.9
2011,1,16,11,-15.4,37,3.5,290,1.47
2011,1,16,12,-14.6,36,3.9,320,1.87
2011,1,16,13,-13.3,34,3.1,320,2.02
2011,1,16,14,-12.5,35,4.4,340,1.96
2011,1,16,15,-11.8,38,3.5,320,1.65
2011,1,16,16,-11.2,38,2.9,290,1.15
2011,1,16,17,-11.6,40,4.2,290,0.53
2011,1,16,18,-12.1,45,3.7,270,0.05
2011,1,17,8,-13.7,61,1.1,290,0
2011,1,17,9,-12.7,51,2.1,270,0.34
2011,1,17,10,-11,44,2.4,290,0.94
2011,1,17,11,-9.9,37,3.1,290,1.53
2011,1,17,12,-8.7,35,3.6,290,1.88
2011,1,17,13,-7.5,32,2.8,290,2
2011,1,17,14,-6.1,29,2.4,290,1.95
2011,1,17,15,-5.9,30,4.1,320,1.67
2011,1,17,16,-5.1,33,3.3,250,1.13
2011,1,17,17,-5.9,37,3.6,270,0.52
2011,1,17,18,-6.9,39,3.5,270,0.06
2011,1,18,8,-10.6,71,1,20,0.01
2011,1,18,9,-9.6,66,1.4,20,0.28
2011,1,18,10,-7.8,57,1.1,20,0.8
2011,1,18,11,-5.6,43,3,250,1.24
2011,1,18,12,-4.5,42,2.9,290,1.81
2011,1,18,13,-4,36,3.4,250,1.83
2011,1,18,14,-3.4,29,3.7,270,1.88
2011,1,18,15,-3.4,25,4.2,290,1.52
2011,1,18,16,-3.3,31,3.5,290,0.96
2011,1,18,17,-4.3,27,3.8,290,0.35
2011,1,18,18,-4.9,37,2.9,250,0.05
2011,1,19,8,-9.8,66,2.3,270,0
2011,1,19,9,-9,58,1.7,270,0.29
2011,1,19,10,-7.5,47,1.9,290,0.87
2011,1,19,11,-5.9,32,2.8,270,1.41
2011,1,19,12,-4.8,26,4.3,270,1.91
2011,1,19,13,-4.6,20,4.7,290,2.06
2011,1,19,14,-3.8,22,3.7,290,1.85
2011,1,19,15,-3.6,26,5,270,1.66
2011,1,19,16,-3.6,26,3.2,270,1.05
2011,1,19,17,-4.2,29,3.9,250,0.53
2011,1,19,18,-5.5,32,3.8,270,0.06
2011,1,20,8,-10.5,44,2.1,360,0
2011,1,20,9,-10,43,2.9,270,0.32
2011,1,20,10,-9.3,39,3.1,270,0.85
2011,1,20,11,-8.7,39,2.1,340,1.43
2011,1,20,12,-7.9,33,3.1,290,1.76
2011,1,20,13,-7.2,32,4.3,290,1.8
2011,1,20,14,-5.8,33,4.4,250,1.88
2011,1,20,15,-5.3,32,3.6,270,1.62
2011,1,20,16,-5.6,33,3.7,290,1.16
2011,1,20,17,-5.8,34,3.7,290,0.56
2011,1,20,18,-7,40,2.9,270,0.07
2011,1,21,8,-9.6,56,0.7,290,0
2011,1,21,9,-8.9,52,0.5,20,0.25
2011,1,21,10,-8.1,44,3.7,290,0.69
2011,1,21,11,-7.1,40,3.9,290,1.31
2011,1,21,12,-5.9,34,4.2,290,1.53
2011,1,21,13,-4.9,31,4.1,290,1.97
2011,1,21,14,-4.1,33,3.5,270,1.67
2011,1,21,15,-3.6,33,3.5,290,1.66
2011,1,21,16,-3.9,33,4.4,290,1.14
2011,1,21,17,-3.9,31,3.6,270,0.54
2011,1,21,18,-5,39,3.5,270,0.06
2011,1,22,8,-6.7,83,3.2,50,0
2011,1,22,9,-6.3,83,2.9,50,0.09
2011,1,22,10,-5.3,81,1.6,20,0.57
2011,1,22,11,-3.9,78,2.5,270,0.79
2011,1,22,12,-3.3,75,3.4,290,1.01
2011,1,22,13,-3.3,69,3.5,320,0.8
2011,1,22,14,-2.3,54,4.4,320,1.5
2011,1,22,15,-1.1,46,3.2,290,1.58
2011,1,22,16,-1,36,3.2,290,1.13
2011,1,22,17,-1.4,35,3.3,250,0.58
2011,1,22,18,-2.6,39,3.4,270,0.07
2011,1,23,8,-5.3,65,3,50,0
2011,1,23,9,-4.9,63,4.1,50,0.14
2011,1,23,10,-3.7,61,3,70,0.5
2011,1,23,11,-2.6,58,3.4,70,0.78
2011,1,23,12,-2.3,60,3.3,50,0.42
2011,1,23,13,-3.4,87,1.3,20,0.2
