Points,Value,Models
1,95.34922438,MRF
2,94.37441095,MRF
3,93.24423822,MRF
4,92.77708072,MRF
5,93.04391782,MRF
6,92.8856008,MRF
7,92.20220855,MRF
8,91.17842788,MRF
9,91.05950786,MRF
10,91.52415493,MRF
11,91.33591806,MRF
12,91.35110095,MRF
13,91.3167651,MRF
14,91.29207104,MRF
15,91.51831801,MRF
16,91.6383723,MRF
17,91.48581866,MRF
18,91.29306635,MRF
19,92.51555523,MRF
20,93.75566266,MRF
21,94.39251453,MRF
22,95.49760381,MRF
23,96.63389299,MRF
24,97.85046549,MRF
1,34.41899362,RABOLA
2,37.42395115,RABOLA
3,38.61316768,RABOLA
4,39.56148837,RABOLA
5,39.87782746,RABOLA
6,40.3240661,RABOLA
7,40.50335252,RABOLA
8,40.73271043,RABOLA
9,41.01266808,RABOLA
10,41.18925514,RABOLA
11,41.28916133,RABOLA
12,41.70431958,RABOLA
13,41.76563706,RABOLA
14,41.69570289,RABOLA
15,41.73790127,RABOLA
16,41.91970181,RABOLA
17,42.05685998,RABOLA
18,42.00989798,RABOLA
19,42.04559436,RABOLA
20,42.03494273,RABOLA
21,42.09988774,RABOLA
22,42.0256517,RABOLA
23,42.04370084,RABOLA
24,41.94327249,RABOLA
1,33.61848062,TOM 1
2,35.57040113,TOM 1
3,36.14557191,TOM 1
4,36.47214905,TOM 1
5,36.65956115,TOM 1
6,36.72402007,TOM 1
7,36.77125259,TOM 1
8,36.88015639,TOM 1
9,36.82643771,TOM 1
10,36.88885552,TOM 1
11,36.88833345,TOM 1
12,36.98869312,TOM 1
13,36.90856635,TOM 1
14,36.84737818,TOM 1
15,36.98775223,TOM 1
16,37.07233435,TOM 1
17,36.92485414,TOM 1
18,36.94760252,TOM 1
19,36.94619749,TOM 1
20,36.94926134,TOM 1
21,36.95052828,TOM 1
22,36.9379236,TOM 1
23,36.86763058,TOM 1
24,37.11273624,TOM 1
1,49.39456687,TOM 2
2,49.74785376,TOM 2
3,49.91803641,TOM 2
4,49.79938363,TOM 2
5,49.91438359,TOM 2
6,49.91700317,TOM 2
7,50.05123822,TOM 2
8,49.97365965,TOM 2
9,49.98207288,TOM 2
10,49.92037449,TOM 2
11,49.827458,TOM 2
12,49.93443362,TOM 2
13,50.08787902,TOM 2
14,49.78462468,TOM 2
15,50.00116795,TOM 2
16,49.9110918,TOM 2
17,49.94589744,TOM 2
18,49.91802412,TOM 2
19,49.90807319,TOM 2
20,49.94661742,TOM 2
21,49.93274505,TOM 2
22,50.01681065,TOM 2
23,49.95000932,TOM 2
24,50.05953191,TOM 2
1,33.86953376,Ours
2,35.01508636,Ours
3,35.54651536,Ours
4,35.8326605,Ours
5,35.92969367,Ours
6,36.03442391,Ours
7,36.13718665,Ours
8,36.14167692,Ours
9,36.15366535,Ours
10,36.09180766,Ours
11,36.12384183,Ours
12,36.15185802,Ours
13,36.24543045,Ours
14,36.27127813,Ours
15,36.30348746,Ours
16,36.24095706,Ours
17,36.25533987,Ours
18,36.46278722,Ours
19,36.28423769,Ours
20,36.24698541,Ours
21,36.3301247,Ours
22,36.29355089,Ours
23,36.33623764,Ours
24,36.47313895,Ours
